disease IDs	disease ID labels	list of diseases	active ingredients in therapy	drug ID	drug ID Label	drug|disease	inferred_from_mondo
MONDO:0006635	Acinetobacter infectious disease	INFECTIONS CAUSED BY ACINETOBACTER SPP. (RESISTANT TO CARBAPENEM ANTIMICROBIAL DRUGS)	RELEBACTAM HYDRATE/IMIPENEM HYDRATE/CILASTATIN SODIUM	RXCUI:2184139	cilastatin / imipenem / relebactam Injectable Product	MONDO:0006635|RXCUI:2184139	False
MONDO:0006651	anterior uveitis	PAEDIATRIC UVEITIS	ADALIMUMAB	UNII:FYS6T7F842	Adalimumab	MONDO:0006651|UNII:FYS6T7F842	False
MONDO:0006671	Bacteroides infectious disease	BACTEROIDES INFECTIONS	{'OXYTETRACYCLINE'}	CHEBI:133011	oxytetracycline	MONDO:0006671|CHEBI:133011	False
MONDO:0006702	chronic inflammatory demyelinating polyradiculoneuropathy	SINGLE DEMYELINATING EVENT WITH AN ACTIVE INFLAMMATORY PROCESS	INTERFERON BETA-1B	CHEBI:5938	Interferon beta-1b	MONDO:0006702|CHEBI:5938	False
MONDO:0006710	complex partial epilepsy	PARTIAL SEIZURES	PREGABALIN	CHEBI:64356	Pregabalin	MONDO:0006710|CHEBI:64356	False
MONDO:0006733	dry eye syndrome	DRY EYE DISEASE	DIQUAFOSOI SODIUM	CHEBI:9180	Sodium salicylate	MONDO:0006733|CHEBI:9180	False
MONDO:0006805	intermediate coronary syndrome	UNSTABLE ANGINA	CLOPIDOGREL	CHEBI:3759	Plavix	MONDO:0006805|CHEBI:3759	False
MONDO:0006837	low tension glaucoma	TENSION ASSOCIATED WITH PSYCHONEUROSIS	{'HYDROXYZINE'}	CHEBI:5818	Hydroxyzine	MONDO:0006837|CHEBI:5818	False
MONDO:0006875	ocular hypertension	INFLAMMATORY OCULAR CONDITIONS	{'HYDROCORTISONE', 'NEOMYCIN', 'POLYMYXIN B', 'BACITRACIN'}	RXCUI:374806	bacitracin / hydrocortisone / neomycin / polymyxin B Ophthalmic Ointment	MONDO:0006875|RXCUI:374806	False
MONDO:0006875	ocular hypertension	INFLAMMATORY OCULAR CONDITIONS	{'HYDROCORTISONE', 'OXYTETRACYCLINE'}	CHEBI:133011	oxytetracycline	MONDO:0006875|CHEBI:133011	False
MONDO:0006875	ocular hypertension	OCULAR REDNESS	{'NAPHAZOLINE'}	CHEBI:7470	Naphazoline	MONDO:0006875|CHEBI:7470	False
MONDO:0006929	Proteus infectious disease	INFECTIONS CAUSED BY PROTEUS SPP	CEFIDEROCOL TOSILATE SULFATE HYDRATE	CHEBI:140376	Cefiderocol	MONDO:0006929|CHEBI:140376	False
MONDO:0006938	pyelitis	PYELITIS	{'PHENAZOPYRIDINE', 'SULFAMETHIZOLE', 'OXYTETRACYCLINE'}	CHEBI:133011	oxytetracycline	MONDO:0006938|CHEBI:133011	False
MONDO:0006939	pyelonephritis	PYELONEPHRITIS	{'PHENAZOPYRIDINE', 'SULFAMETHIZOLE', 'OXYTETRACYCLINE'}	CHEBI:133011	oxytetracycline	MONDO:0006939|CHEBI:133011	False
MONDO:0007008	uremia	ANAEMIA OF RENAL ORIGIN	EPOETIN ALFA	PUBCHEM.COMPOUND:92043599	epoetin alfa	MONDO:0007008|PUBCHEM.COMPOUND:92043599	False
MONDO:0007008	uremia	ANAEMIA OF RENAL ORIGIN	EPOETIN ALFA	PUBCHEM.COMPOUND:92043599	epoetin alfa	MONDO:0007008|PUBCHEM.COMPOUND:92043599	False
MONDO:0007014	vibrio infectious disease	VIBRIO FETUS INFECTION	{'OXYTETRACYCLINE'}	CHEBI:133011	oxytetracycline	MONDO:0007014|CHEBI:133011	False
MONDO:0007037	Achondroplasia	ACHONDROPLASIA	VOSORITIDE	UNII:7SE5582Q2P	Vosoritide	MONDO:0007037|UNII:7SE5582Q2P	False
MONDO:0007100	familial amyloid neuropathy	TRANSTHYRETIN CARDIAC AMYLOIDOSIS (HEREDITARY)	TAFAMIDIS	CHEBI:78538	Fx-1006A	MONDO:0007100|CHEBI:78538	False
MONDO:0007100	familial amyloid neuropathy	TRANSTHYRETIN FAMILIAL AMYLOID POLYNEUROPATHY	VUTRISIRAN SODIUM	UNII:GB4I2JI8UI	Vutrisiran	MONDO:0007100|UNII:GB4I2JI8UI	False
MONDO:0007147	obstructive sleep apnea syndrome	OBSTRUCTIVE SLEEP APNOEA (OSA)	PITOLISANT	CHEBI:134709	Pitolisant	MONDO:0007147|CHEBI:134709	False
MONDO:0007174	Lown-Ganong-Levine syndrome	LOWN-GANONG-LEVINE (L-G-L) SYNDROMES	{'VERAPAMIL'}	CHEBI:77733	Verapamil	MONDO:0007174|CHEBI:77733	False
MONDO:0007186	gastroesophageal reflux disease	GASTRO-OESOPHAGEAL JUNCTION ADENOCARCINOMA	RAMUCIRUMAB	UNII:D99YVK4L0X	Ramucirumab	MONDO:0007186|UNII:D99YVK4L0X	False
MONDO:0007186	gastroesophageal reflux disease	GASTROESOPHAGEAL REFLUX DISEASE (GERD)	{'FAMOTIDINE'}	CHEBI:4975	Famotidine	MONDO:0007186|CHEBI:4975	False
MONDO:0007186	gastroesophageal reflux disease	GERD (GASTROESOPHAGEAL REFLUX DISEASE)	{'RANITIDINE'}	CHEBI:8776	ranitidine	MONDO:0007186|CHEBI:8776	False
MONDO:0007186	gastroesophageal reflux disease	GERD (GASTROESOPHAGEAL REFLUX DISEASE)	{'RANITIDINE'}	CHEBI:8776	ranitidine	MONDO:0007186|CHEBI:8776	False
MONDO:0007243	Burkitt lymphoma	BURKITT LEUKAEMIA (BAL)	RITUXIMAB	UNII:4F4X42SYQ6	Rituximab	MONDO:0007243|UNII:4F4X42SYQ6	False
MONDO:0007243	Burkitt lymphoma	BURKITT LYMPHOMA (BL)	RITUXIMAB	UNII:4F4X42SYQ6	Rituximab	MONDO:0007243|UNII:4F4X42SYQ6	False
MONDO:0007243	Burkitt lymphoma	BURKITT-LIKE LYMPHOMA (BLL)	RITUXIMAB	UNII:4F4X42SYQ6	Rituximab	MONDO:0007243|UNII:4F4X42SYQ6	False
MONDO:0007243	Burkitt lymphoma	BURKITT-LIKE LYMPHOMA (BLL)	RITUXIMAB	UNII:4F4X42SYQ6	Rituximab	MONDO:0007243|UNII:4F4X42SYQ6	False
MONDO:0007243	Burkitt lymphoma	BURKITT-LIKE LYMPHOMA (BLL)	RITUXIMAB	UNII:4F4X42SYQ6	Rituximab	MONDO:0007243|UNII:4F4X42SYQ6	False
MONDO:0007254	breast cancer	BREAST CANCER	PEGFILGRASTIM	UNII:3A58010674	Pegfilgrastim	MONDO:0007254|UNII:3A58010674	False
MONDO:0007254	breast cancer	BREAST CANCER	PEGFILGRASTIM	UNII:3A58010674	Pegfilgrastim	MONDO:0007254|UNII:3A58010674	False
MONDO:0007254	breast cancer	BREAST CANCER	TRASTUZUMAB	UNII:5384HK7574	Trastuzumab deruxtecan	MONDO:0007254|UNII:5384HK7574	False
MONDO:0007254	breast cancer	BREAST CANCER	TRASTUZUMAB DERUXTECAN	UNII:5384HK7574	Trastuzumab deruxtecan	MONDO:0007254|UNII:5384HK7574	False
MONDO:0007254	breast cancer	EARLY BREAST CANCER	TRASTUZUMAB	UNII:5384HK7574	Trastuzumab deruxtecan	MONDO:0007254|UNII:5384HK7574	False
MONDO:0007256	hepatocellular carcinoma	HEPATOCELLULAR CARCINOMA	RAMUCIRUMAB	UNII:D99YVK4L0X	Ramucirumab	MONDO:0007256|UNII:D99YVK4L0X	False
MONDO:0007762	hyperlipoproteinemia type V	TYPE V HYPERLIPIDEMIA	{'GEMFIBROZIL'}	CHEBI:5296	Gemfibrozil	MONDO:0007762|CHEBI:5296	False
MONDO:0007788	hypertriglyceridemia 1	FAMILIAL HYPERTRIGLYCERIDEMIA	{'GEMFIBROZIL'}	CHEBI:5296	Gemfibrozil	MONDO:0007788|CHEBI:5296	False
MONDO:0007788	hypertriglyceridemia 1	TYPE IV HYPERLIPIDEMIA	{'GEMFIBROZIL'}	CHEBI:5296	Gemfibrozil	MONDO:0007788|CHEBI:5296	False
MONDO:0007915	systemic lupus erythematosus	SYSTEMIC LUPUS ERYTHEMATOSUS	ANIFROLUMAB 	UNII:38RL9AE51Q	Anifrolumab	MONDO:0007915|UNII:38RL9AE51Q	False
MONDO:0007950	mastocytosis	MASTOCYTOSIS	{'CROMOLYN SODIUM'}	CHEBI:59773	CROMOLYN	MONDO:0007950|CHEBI:59773	False
MONDO:0007959	medulloblastoma	MEDULLOBLASTOMA	CARMUSTINE	CHEBI:3423	Carmustine	MONDO:0007959|CHEBI:3423	False
MONDO:0008015	motion sickness	MOTION SICKNESS	{'MECLIZINE'}	CHEBI:6709	Meclizine	MONDO:0008015|CHEBI:6709	False
MONDO:0008015	motion sickness	MOTION SICKNESS	{'PROMETHAZINE'}	CHEBI:8461	Promethazine	MONDO:0008015|CHEBI:8461	False
MONDO:0008090	cyclic hematopoiesis	CYCLIC	FILGRASTIM	UNII:PVI5M0M1GW	Filgrastim	MONDO:0008090|UNII:PVI5M0M1GW	False
MONDO:0008170	ovarian cancer	HIGH-GRADE EPITHELIAL OVARIAN CANCER	RUCAPARIB	CHEBI:134689	Rucaparib	MONDO:0008170|CHEBI:134689	False
MONDO:0008170	ovarian cancer	OVARIAN CANCER	PEGFILGRASTIM	UNII:3A58010674	Pegfilgrastim	MONDO:0008170|UNII:3A58010674	False
MONDO:0008170	ovarian cancer	OVARIAN CANCER	PEGFILGRASTIM	UNII:3A58010674	Pegfilgrastim	MONDO:0008170|UNII:3A58010674	False
MONDO:0008219	pemphigus vulgaris	PEMPHIGUS VULGARIS	RITUXIMAB	UNII:4F4X42SYQ6	Rituximab	MONDO:0008219|UNII:4F4X42SYQ6	False
MONDO:0008219	pemphigus vulgaris	PEMPHIGUS VULGARIS (PV)	RITUXIMAB	UNII:4F4X42SYQ6	Rituximab	MONDO:0008219|UNII:4F4X42SYQ6	False
MONDO:0008219	pemphigus vulgaris	PEMPHIGUS VULGARIS (PV)	RITUXIMAB	UNII:4F4X42SYQ6	Rituximab	MONDO:0008219|UNII:4F4X42SYQ6	False
MONDO:0008219	pemphigus vulgaris	PEMPHIGUS VULGARIS (PV)	RITUXIMAB	UNII:4F4X42SYQ6	Rituximab	MONDO:0008219|UNII:4F4X42SYQ6	False
MONDO:0008219	pemphigus vulgaris	PEMPHIGUS VULGARIS (PV)	RITUXIMAB	UNII:4F4X42SYQ6	Rituximab	MONDO:0008219|UNII:4F4X42SYQ6	False
MONDO:0008228	pernicious anemia	ANAEMIA	EPOETIN ALFA	PUBCHEM.COMPOUND:92043599	epoetin alfa	MONDO:0008228|PUBCHEM.COMPOUND:92043599	False
MONDO:0008315	prostate cancer	ADVANCED HORMONE-SENSITIVE PROSTATE CANCER	RELUGOLIX	UNII:P76B05O5V6	Relugolix	MONDO:0008315|UNII:P76B05O5V6	False
MONDO:0008315	prostate cancer	PROSTATE CANCER	PEGFILGRASTIM	UNII:3A58010674	Pegfilgrastim	MONDO:0008315|UNII:3A58010674	False
MONDO:0008315	prostate cancer	PROSTATE CANCER (MCRPC)	LUTETIUM (177LU) VIPIVOTIDE TETRAXETAN	UNII:G6UF363ECX	177Lu-PSMA-617	MONDO:0008315|UNII:G6UF363ECX	False
MONDO:0008315	prostate cancer	PROSTATE CANCER (PCA)	PIFLUFOLASTAT (18F)	UNII:3934EF02T7	Piflufolastat F 18	MONDO:0008315|UNII:3934EF02T7	False
MONDO:0008383	rheumatoid arthritis	RHEUMATOID ARTHRITIS	ADALIMUMAB	UNII:FYS6T7F842	Adalimumab	MONDO:0008383|UNII:FYS6T7F842	False
MONDO:0008383	rheumatoid arthritis	RHEUMATOID ARTHRITIS	BARICITINIB	CHEBI:95341	Baricitinib	MONDO:0008383|CHEBI:95341	False
MONDO:0008383	rheumatoid arthritis	RHEUMATOID ARTHRITIS	INFLIXIMAB	UNII:B72HH48FLU	Infliximab	MONDO:0008383|UNII:B72HH48FLU	False
MONDO:0008383	rheumatoid arthritis	RHEUMATOID ARTHRITIS	LEFLUNOMIDE	CHEBI:6402	Leflunomide	MONDO:0008383|CHEBI:6402	False
MONDO:0008383	rheumatoid arthritis	RHEUMATOID ARTHRITIS	OZORALIZUMAB 	UNII:05ZCK72TXZ	Ozoralizumab	MONDO:0008383|UNII:05ZCK72TXZ	False
MONDO:0008383	rheumatoid arthritis	RHEUMATOID ARTHRITIS	RITUXIMAB	UNII:4F4X42SYQ6	Rituximab	MONDO:0008383|UNII:4F4X42SYQ6	False
MONDO:0008383	rheumatoid arthritis	RHEUMATOID ARTHRITIS	RITUXIMAB	UNII:4F4X42SYQ6	Rituximab	MONDO:0008383|UNII:4F4X42SYQ6	False
MONDO:0008383	rheumatoid arthritis	RHEUMATOID ARTHRITIS	RITUXIMAB	UNII:4F4X42SYQ6	Rituximab	MONDO:0008383|UNII:4F4X42SYQ6	False
MONDO:0008383	rheumatoid arthritis	RHEUMATOID ARTHRITIS	RITUXIMAB	UNII:4F4X42SYQ6	Rituximab	MONDO:0008383|UNII:4F4X42SYQ6	False
MONDO:0008383	rheumatoid arthritis	RHEUMATOID ARTHRITIS	RITUXIMAB	UNII:4F4X42SYQ6	Rituximab	MONDO:0008383|UNII:4F4X42SYQ6	False
MONDO:0008383	rheumatoid arthritis	RHEUMATOID ARTHRITIS	set()	PUBCHEM.COMPOUND:452520	CHEMBL154740	MONDO:0008383|PUBCHEM.COMPOUND:452520	False
MONDO:0008433	small cell lung carcinoma	RELAPSED SMALL CELL LUNG CANCER (SCLC)	TOPOTECAN	CHEBI:63632	Topotecan	MONDO:0008433|CHEBI:63632	False
MONDO:0008541	spermatic cord torsion	TESTICULAR FAILURE DUE TO BILATERAL TORSION	{'FLUOXYMESTERONE'}	CHEBI:5120	Fluoxymesterone	MONDO:0008541|CHEBI:5120	False
MONDO:0008661	vitiligo	VITILIGO (NON-SEGMENTAL WITH FACIAL INVOLVEMENT)	RUXOLITINIB	CHEBI:66917	ruxolitinib phosphate	MONDO:0008661|CHEBI:66917	False
MONDO:0008685	Wolff-Parkinson-White syndrome	WOLFF-PARKINSON-WHITE (W-P-W) SYNDROME	{'VERAPAMIL'}	CHEBI:77733	Verapamil	MONDO:0008685|CHEBI:77733	False
MONDO:0008903	lung cancer	LUNG CANCER	PEGFILGRASTIM	UNII:3A58010674	Pegfilgrastim	MONDO:0008903|UNII:3A58010674	False
MONDO:0008903	lung cancer	LUNG CANCER	PEGFILGRASTIM	UNII:3A58010674	Pegfilgrastim	MONDO:0008903|UNII:3A58010674	False
MONDO:0009047	cryptorchidism	TESTICULAR FAILURE DUE TO CRYPTORCHIDISM	{'FLUOXYMESTERONE'}	CHEBI:5120	Fluoxymesterone	MONDO:0009047|CHEBI:5120	False
MONDO:0009061	cystic fibrosis	CYSTIC FIBROSIS (CF)	IVACAFTOR	CHEBI:66901	Ivacaftor	MONDO:0009061|CHEBI:66901	False
MONDO:0009061	cystic fibrosis	CYSTIC FIBROSIS (CF)	TEZACAFTOR, IVACAFTOR	PUBCHEM.COMPOUND:72722243	Symkevi	MONDO:0009061|PUBCHEM.COMPOUND:72722243	False
MONDO:0009290	glycogen storage disease II	POMPE DISEASE	AVALGLUCOSIDASE ALFA 	UNII:EO144CP0X9	Avalglucosidase alfa	MONDO:0009290|UNII:EO144CP0X9	False
MONDO:0009338	hepatic veno-occlusive disease-immunodeficiency syndrome	EDEMA ASSOCIATED WITH HEPATIC DISEASE	{'TORSEMIDE'}	CHEBI:9637	Torasemide	MONDO:0009338|CHEBI:9637	False
MONDO:0009348	classic Hodgkin lymphoma	HODGKIN LYMPHOMA	BRENTUXIMAB VEDOTIN	UNII:7XL5ISS668	Adcetris	MONDO:0009348|UNII:7XL5ISS668	False
MONDO:0009348	classic Hodgkin lymphoma	HODGKIN LYMPHOMA	PEGFILGRASTIM	UNII:3A58010674	Pegfilgrastim	MONDO:0009348|UNII:3A58010674	False
MONDO:0009348	classic Hodgkin lymphoma	HODGKIN LYMPHOMA	PEGFILGRASTIM	UNII:3A58010674	Pegfilgrastim	MONDO:0009348|UNII:3A58010674	False
MONDO:0009662	mucopolysaccharidosis type 7	MUCOPOLYSACCHARIDOSIS TYPE VII	VESTRONIDASE ALFA 	UNII:7XZ4062R17	Vestronidase alfa	MONDO:0009662|UNII:7XZ4062R17	False
MONDO:0009688	myasthenia gravis	GENERALISED MYASTHENIA GRAVIS (GMG)	EFGARTIGIMOD ALFA	UNII:961YV2O515	Efgartigimod alfa	MONDO:0009688|UNII:961YV2O515	False
MONDO:0009688	myasthenia gravis	GENERALIZED MYASTHENIA GRAVIS	EFGARTIGIMOD ALFA 	UNII:961YV2O515	Efgartigimod alfa	MONDO:0009688|UNII:961YV2O515	False
MONDO:0009688	myasthenia gravis	GENERALIZED MYASTHENIA GRAVIS	EFGARTIGIMOD ALFA  AND VORHYALURONIDASE ALFA 	UNII:961YV2O515	Efgartigimod alfa	MONDO:0009688|UNII:961YV2O515	False
MONDO:0009688	myasthenia gravis	GENERALIZED MYASTHENIA GRAVIS	ROZANOLIXIZUMAB 	UNII:P7186074QC	Rozanolixizumab	MONDO:0009688|UNII:P7186074QC	False
MONDO:0009688	myasthenia gravis	MYASTHENIA GRAVIS	{'EDROPHONIUM CATION'}	CHEBI:251408	Edrophonium	MONDO:0009688|CHEBI:251408	False
MONDO:0009688	myasthenia gravis	REFRACTORY GENERALIZED MYASTHENIA GRAVIS (GMG)	ECULIZUMAB	UNII:A3ULP0F556	Eculizumab	MONDO:0009688|UNII:A3ULP0F556	False
MONDO:0009756	Niemann-Pick disease type A	NIEMANN-PICK DISEASE TYPE A	OLIPUDASE ALFA 	UNII:6D5766Q4OP	Olipudase alfa	MONDO:0009756|UNII:6D5766Q4OP	False
MONDO:0010096	tardive dyskinesia	TARDIVE DYSKINESIA	VALBENAZINE TOSILATE	UNII:54K37P50KH	Valbenazine	MONDO:0010096|UNII:54K37P50KH	False
MONDO:0010122	congenital thrombotic thrombocytopenic purpura	CONGENITAL THROMBOTIC THROMBOCYTOPENIC PURPURA	APADAMTASE ALFA / CINAXADAMTASE ALFA 	DRUGBANK:DB15164	Apadamtase alfa	MONDO:0010122|DRUGBANK:DB15164	False
MONDO:0010602	hemophilia A	HAEMOPHILIA A (CONGENITAL FACTOR-VIII DEFICIENCY)	OCTOCOG ALFA	UNII:VQ723R7O8R	Lonoctocog alfa	MONDO:0010602|UNII:VQ723R7O8R	False
MONDO:0011122	obesity disorder	OBESITY	{'TOLAZAMIDE'}	CHEBI:9613	Tolazamide	MONDO:0011122|CHEBI:9613	False
MONDO:0011429	juvenile idiopathic arthritis	IDIOPATHIC GONADOTROPIN DEFICIENCY	{'FLUOXYMESTERONE'}	CHEBI:5120	Fluoxymesterone	MONDO:0011429|CHEBI:5120	False
MONDO:0011429	juvenile idiopathic arthritis	IDIOPATHIC LHRH DEFICIENCY	{'FLUOXYMESTERONE'}	CHEBI:5120	Fluoxymesterone	MONDO:0011429|CHEBI:5120	False
MONDO:0011429	juvenile idiopathic arthritis	JUVENILE IDIOPATHIC ARTHRITIS	ADALIMUMAB	UNII:FYS6T7F842	Adalimumab	MONDO:0011429|UNII:FYS6T7F842	False
MONDO:0011429	juvenile idiopathic arthritis	JUVENILE IDIOPATHIC ARTHRITIS	BARICITINIB	CHEBI:95341	Baricitinib	MONDO:0011429|CHEBI:95341	False
MONDO:0011438	acne	SEVERE ACNE	{'OXYTETRACYCLINE'}	CHEBI:133011	oxytetracycline	MONDO:0011438|CHEBI:133011	False
MONDO:0011438	acne	SEVERE RECALCITRANT NODULAR ACNE	{'ISOTRETINOIN'}	CHEBI:6067	Isotretinoin	MONDO:0011438|CHEBI:6067	False
MONDO:0011719	gastrointestinal stromal tumor	GASTROINTESTINAL STROMAL TUMOR (GIST)	PIMITESPIB	UNII:PLO044MUDZ	TAS-116	MONDO:0011719|UNII:PLO044MUDZ	False
MONDO:0011849	psoriatic arthritis	PSORIATIC ARTHRITIS	ADALIMUMAB	UNII:FYS6T7F842	Adalimumab	MONDO:0011849|UNII:FYS6T7F842	False
MONDO:0011849	psoriatic arthritis	PSORIATIC ARTHRITIS	APREMILAST	CHEBI:78540	Apremilast	MONDO:0011849|CHEBI:78540	False
MONDO:0011849	psoriatic arthritis	PSORIATIC ARTHRITIS	INFLIXIMAB	UNII:B72HH48FLU	Infliximab	MONDO:0011849|UNII:B72HH48FLU	False
MONDO:0011849	psoriatic arthritis	PSORIATIC ARTHRITIS	USTEKINUMAB  [USTEKINUMAB BIOSIMILAR 1]	UNII:FU77B4U5Z0	Ustekinumab	MONDO:0011849|UNII:FU77B4U5Z0	False
MONDO:0011871	Niemann-Pick disease type B	NIEMANN-PICK DISEASE TYPE B	OLIPUDASE ALFA 	UNII:6D5766Q4OP	Olipudase alfa	MONDO:0011871|UNII:6D5766Q4OP	False
MONDO:0011888	immunodeficiency 67	INVASIVE PNEUMOCOCCAL DISEASE	PNEUMOCOCCAL POLYSACCHARIDE CONJUGATED TO CRM197 CARRIER PROTEIN	CHEBI:8389	Premarin	MONDO:0011888|CHEBI:8389	False
MONDO:0011888	immunodeficiency 67	PNEUMOCOCCAL DISEASE	"PNEUMOCOCCAL POLYSACCHARIDES OF SEROTYPES 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C,
19A, 19F, 22F, 23F,
AND 33F CONJUGATED TO CRM197 CARRIER PROTEIN"	RXCUI:2566414	Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 22F capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 33F capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine Injectable Product	MONDO:0011888|RXCUI:2566414	False
MONDO:0011918	anxiety	ANXIETY	{'CHLORDIAZEPOXIDE'}	CHEBI:3611	Chlordiazepoxide	MONDO:0011918|CHEBI:3611	False
MONDO:0011918	anxiety	ANXIETY	{'HYDROXYZINE'}	CHEBI:5818	Hydroxyzine	MONDO:0011918|CHEBI:5818	False
MONDO:0011918	anxiety	ANXIETY	{'HYDROXYZINE'}	CHEBI:5818	Hydroxyzine	MONDO:0011918|CHEBI:5818	False
MONDO:0011918	anxiety	ANXIETY	{'HYDROXYZINE'}	CHEBI:5818	Hydroxyzine	MONDO:0011918|CHEBI:5818	False
MONDO:0011918	anxiety	ANXIETY	{'LORAZEPAM'}	CHEBI:6539	Lorazepam	MONDO:0011918|CHEBI:6539	False
MONDO:0011918	anxiety	ORGANIC DISEASE STATES IN WHICH ANXIETY IS MANIFESTED	{'HYDROXYZINE'}	CHEBI:5818	Hydroxyzine	MONDO:0011918|CHEBI:5818	False
MONDO:0011918	anxiety	PREOPERATIVE APPREHENSION AND ANXIETY	{'CHLORDIAZEPOXIDE'}	CHEBI:3611	Chlordiazepoxide	MONDO:0011918|CHEBI:3611	False
MONDO:0011922	nonimmune chronic idiopathic neutropenia of adults	OR IDIOPATHIC NEUTROPENIA	FILGRASTIM	UNII:PVI5M0M1GW	Filgrastim	MONDO:0011922|UNII:PVI5M0M1GW	False
MONDO:0011996	chronic myelogenous leukemia, BCR-ABL1 positive	CHRONIC MYELOGENOUS LEUKAEMIA (CML)	NILOTINIB	CHEBI:52172	Nilotinib	MONDO:0011996|CHEBI:52172	False
MONDO:0011996	chronic myelogenous leukemia, BCR-ABL1 positive	PHILADELPHIA CHROMOSOME POSITIVE B-PRECURSOR ALL (RELAPSED OR REFRACTORY)	BLINATUMOMAB	UNII:4FR53SIF3A	Blinatumomab	MONDO:0011996|UNII:4FR53SIF3A	False
MONDO:0012105	granulomatosis with polyangiitis	GRANULOMATOSIS WITH POLYANGIITIS	AVACOPAN	UNII:O880NM097T	Avacopan	MONDO:0012105|UNII:O880NM097T	False
MONDO:0012105	granulomatosis with polyangiitis	GRANULOMATOSIS WITH POLYANGIITIS (WEGENER’S) (GPA)	RITUXIMAB	UNII:4F4X42SYQ6	Rituximab	MONDO:0012105|UNII:4F4X42SYQ6	False
MONDO:0012105	granulomatosis with polyangiitis	GRANULOMATOSIS WITH POLYANGIITIS (WEGENER’S) (GPA)	RITUXIMAB	UNII:4F4X42SYQ6	Rituximab	MONDO:0012105|UNII:4F4X42SYQ6	False
MONDO:0012105	granulomatosis with polyangiitis	GRANULOMATOSIS WITH POLYANGIITIS (WEGENER’S) (GPA)	RITUXIMAB	UNII:4F4X42SYQ6	Rituximab	MONDO:0012105|UNII:4F4X42SYQ6	False
MONDO:0012105	granulomatosis with polyangiitis	GRANULOMATOSIS WITH POLYANGIITIS (WEGENER’S) (GPA)	RITUXIMAB	UNII:4F4X42SYQ6	Rituximab	MONDO:0012105|UNII:4F4X42SYQ6	False
MONDO:0012105	granulomatosis with polyangiitis	GRANULOMATOSIS WITH POLYANGIITIS (WEGENER’S) (GPA)	RITUXIMAB	UNII:4F4X42SYQ6	Rituximab	MONDO:0012105|UNII:4F4X42SYQ6	False
MONDO:0012579	autoimmune pulmonary alveolar proteinosis	AUTOIMMUNE PULMONARY ALVEOLAR PROTEINOSIS	SARGRAMOSTIM 	UNII:5TAA004E22	Sargramostim	MONDO:0012579|UNII:5TAA004E22	False
MONDO:0013317	torsade-de-pointes syndrome with short coupling interval	TORSADE DE POINTES	{'SOTALOL'}	CHEBI:9207	sotalol hydrochloride	MONDO:0013317|CHEBI:9207	False
MONDO:0013600	insomnia	INSOMNIA	MELATONIN	CHEBI:16796	Melatonin	MONDO:0013600|CHEBI:16796	False
MONDO:0014945	myopathy, distal, with rimmed vacuoles	DISTAL MYOPATHY WITH RIMMED VACUOLES	ACENEURAMIC ACID	PUBCHEM.COMPOUND:349962	Aceneuramic acid	MONDO:0014945|PUBCHEM.COMPOUND:349962	False
MONDO:0015183	short bowel syndrome	SHORT BOWEL SYNDROME	TEDUGLUTIDE 	CHEBI:72305	Teduglutide	MONDO:0015183|CHEBI:72305	False
MONDO:0015278	familial pancreatic carcinoma	PANCREATIC CANCER	PEGFILGRASTIM	UNII:3A58010674	Pegfilgrastim	MONDO:0015278|UNII:3A58010674	False
MONDO:0015278	familial pancreatic carcinoma	PANCREATIC CANCER	PEGFILGRASTIM	UNII:3A58010674	Pegfilgrastim	MONDO:0015278|UNII:3A58010674	False
MONDO:0015686	primary peritoneal carcinoma	PRIMARY PERITONEAL CANCER	BEVACIZUMAB	UNII:2S9ZZM9Q9V	Bevacizumab	MONDO:0015686|UNII:2S9ZZM9Q9V	False
MONDO:0015686	primary peritoneal carcinoma	PRIMARY PERITONEAL CANCER	RUCAPARIB	CHEBI:134689	Rucaparib	MONDO:0015686|CHEBI:134689	False
