disease IDs	disease ID labels	list of diseases	active ingredients in therapy	drug ID	drug ID Label	drug|disease
MONDO:0001134	essential hypertension	ESSENTIAL HYPERTENSION	TELMISARTAN, HYDROCHLOROTHIAZIDE	PUBCHEM.COMPOUND:216293	Micardis HCT	MONDO:0001134|PUBCHEM.COMPOUND:216293
MONDO:0001134	essential hypertension	ESSENTIAL HYPERTENSION (MILD TO MODERATE)	BISOPROLOL	CHEBI:3127	Bisoprolol	MONDO:0001134|CHEBI:3127
MONDO:0001150	hydrocephalus	HYDROCEPHALUS	N/A BECAUSE OF A NEW COMBINATION DRUG	DRUGBANK:DB17994	Influenza A Virus A/Victoria/4897/2022 IVR-238 (H1N1) antigen (formaldehyde inactivated)	MONDO:0001150|DRUGBANK:DB17994
MONDO:0001152	amnestic disorder	CONSCIOUSNESS DISORDER	FOSPHENYTOIN SODIUM HYDRATE	UNII:9X1NTA9SRP	Fosphenytoin Sodium Hydrate	MONDO:0001152|UNII:9X1NTA9SRP
MONDO:0001155	gastrojejunal ulcer	ACUTE STRESS ULCER	LANSOPRAZOLE	CHEBI:6375	Lansoprazole	MONDO:0001155|CHEBI:6375
MONDO:0001155	gastrojejunal ulcer	SECONDARY INFECTION OF EROSION AND ULCER	TIGECYCLINE	CHEBI:149836	Tigecycline	MONDO:0001155|CHEBI:149836
MONDO:0001155	gastrojejunal ulcer	STOMAL ULCER	ROXATIDINE ACETATE HYDROCHLORIDE	CHEBI:94758	Roxane	MONDO:0001155|CHEBI:94758
MONDO:0001167	spastic diplegia	CEREBROSPINAL DISORDERS (SEVERE SPASTIC PARALYSIS)	BACLOFEN	CHEBI:187893	Baclofen	MONDO:0001167|CHEBI:187893
MONDO:0001187	urinary bladder cancer	BLADDER CANCER	FLUDEOXYGLUCOSE (18F)	CHEBI:31617	fludeoxyglucose (18F)	MONDO:0001187|CHEBI:31617
MONDO:0001187	urinary bladder cancer	BLADDER CANCER	PAMIDRONATE DISODIUM	UNII:C7S8VWP5DH	PAMIDRONATE DISODIUM	MONDO:0001187|UNII:C7S8VWP5DH
MONDO:0001187	urinary bladder cancer	BLADDER CANCER	PEGFILGRASTIM	UNII:3A58010674	Pegfilgrastim	MONDO:0001187|UNII:3A58010674
MONDO:0001200	secondary hypertension	SECONDARY IMMUNODEFICIENCIES (SID)	HUMAN NORMAL IMMUNOGLOBULIN (SCIG)	DRUGBANK:DB00028	Human immunoglobulin G	MONDO:0001200|DRUGBANK:DB00028
MONDO:0001207	neonatal respiratory failure	HYPOXIC RESPIRATORY FAILURE (ASSOCIATED WITH CLINICAL OR ECHOCARDIOGRAPHIC EVIDENCE OF PULMONARY HYPERTENSION) (NEWBORN INFANTS ≥34 WEEKS GESTATION)	NITRIC OXIDE	CHEBI:16480	Nitric Oxide	MONDO:0001207|CHEBI:16480
MONDO:0001218	acute laryngopharyngitis	LARYNGOPHARYNGITIS	CLAVULANATE POTASSIUM/AMOXICILLIN HYDRATE	CHEBI:2676	Amoxicillin	MONDO:0001218|CHEBI:2676
MONDO:0001218	acute laryngopharyngitis	LARYNGOPHARYNGITIS	GARENOXACIN MESILATE	CHEBI:131716	Garenoxacin	MONDO:0001218|CHEBI:131716
MONDO:0001218	acute laryngopharyngitis	LARYNGOPHARYNGITIS	LASCUFLOXACIN HYDROCHLORIDE	UNII:8GYE97TPKI	Lascufloxacin Hydrochloride	MONDO:0001218|UNII:8GYE97TPKI
MONDO:0001218	acute laryngopharyngitis	LARYNGOPHARYNGITIS	SITAFLOXACIN HYDRATE	CHEBI:4304	sitafloxacin	MONDO:0001218|CHEBI:4304
MONDO:0001220	hypoparathyroidism	CHRONIC HYPOPARATHYROIDISM	PARATHYROID HORMONE	UNII:N19A0T0E5J	CID 129631922	MONDO:0001220|UNII:N19A0T0E5J
MONDO:0001239	anemia of prematurity	ANEMIA OF PREMATURITY	EPOETIN KAPPA  [EPOETIN ALFA BIOSIMILAR 1]	PUBCHEM.COMPOUND:92043599	epoetin alfa	MONDO:0001239|PUBCHEM.COMPOUND:92043599
MONDO:0001243	disseminated intravascular coagulation	DISSEMINATED INTRAVASCULAR COAGULATION (DIC)	ANTITHROMBIN GAMMA 	DRUGBANK:DB11598	Antithrombin III human	MONDO:0001243|DRUGBANK:DB11598
MONDO:0001243	disseminated intravascular coagulation	DISSEMINATED INTRAVASCULAR COAGULATION (DIC)	THROMBOMODULIN ALFA 	DRUGBANK:DB05777	Thrombomodulin Alfa	MONDO:0001243|DRUGBANK:DB05777
MONDO:0001244	vitamin K deficiency hemorrhagic disease	VITAMIN K-DEFICIENCY HEMORRHAGE	MENATETRENONE	CHEBI:78277	Menatetrenone	MONDO:0001244|CHEBI:78277
MONDO:0001247	social phobia	SOCIAL ANXIETY DISORDER	ESCITALOPRAM OXALATE	CHEBI:36791	Escitalopram	MONDO:0001247|CHEBI:36791
MONDO:0001247	social phobia	SOCIAL ANXIETY DISORDER	FLUVOXAMINE MALEATE	CHEBI:5138	Fluvoxamine	MONDO:0001247|CHEBI:5138
MONDO:0001247	social phobia	SOCIAL ANXIETY DISORDER	PAROXETINE HYDROCHLORIDE HYDRATE	CHEBI:7936	Paroxetine	MONDO:0001247|CHEBI:7936
MONDO:0001249	trachoma	ACTIVE	CICLOSPORIN	PUBCHEM.COMPOUND:121480897	Ciclosporin V (Cyclosporin Impurity E)	MONDO:0001249|PUBCHEM.COMPOUND:121480897
MONDO:0001266	erysipelas	ERYSIPELAS	DALBAVANCIN	CHEBI:82721	Dalbavancin	MONDO:0001266|CHEBI:82721
MONDO:0001318	functional gastric disease	FUNCTIONAL DYSMENORRHOEA	NORETHISTERONE/ ETHINYLESTRADIOL	CHEBI:7627	Norethisterone	MONDO:0001318|CHEBI:7627
MONDO:0001325	penile cancer	ADVANCED OR METASTATIC PENILE CANCER	BLEOMYCIN HYDROCHLORIDE	PUBCHEM.COMPOUND:20832750	Bleomycin hydrochloride	MONDO:0001325|PUBCHEM.COMPOUND:20832750
MONDO:0001332	palindromic rheumatism	ARTICULAR RHEUMATISM (ONLY WHERE CONVENTIONAL TREATMENTS ARE INADEQUATE)	TACROLIMUS HYDRATE	CHEBI:61049	Tacrolimus	MONDO:0001332|CHEBI:61049
MONDO:0001336	familial hyperlipidemia	FAMILIAL HYPERLIPEMIA	FENOFIBRATE	CHEBI:5001	Fenofibrate	MONDO:0001336|CHEBI:5001
MONDO:0001336	familial hyperlipidemia	FAMILIAL HYPERLIPIDEMIA	FENOFIBRATE	CHEBI:5001	Fenofibrate	MONDO:0001336|CHEBI:5001
MONDO:0001336	familial hyperlipidemia	FAMILIAL HYPERLIPIDEMIA	FENOFIBRATE	CHEBI:5001	Fenofibrate	MONDO:0001336|CHEBI:5001
MONDO:0001336	familial hyperlipidemia	FAMILIAL HYPERLIPIDEMIA	FENOFIBRATE	CHEBI:5001	Fenofibrate	MONDO:0001336|CHEBI:5001
MONDO:0001336	familial hyperlipidemia	FAMILIAL HYPERLIPIDEMIA	FENOFIBRATE	CHEBI:5001	Fenofibrate	MONDO:0001336|CHEBI:5001
MONDO:0001336	familial hyperlipidemia	FAMILIAL HYPERLIPIDEMIA	FENOFIBRATE	CHEBI:5001	Fenofibrate	MONDO:0001336|CHEBI:5001
MONDO:0001339	portal vein thrombosis	PORTAL VEIN ASSESSMENT (DIAGNOSTIC/CONTRAST/RADIOLABEL)	SULPHUR HEXAFLUORIDE	CHEBI:30496	Sulfur hexafluoride	MONDO:0001339|CHEBI:30496
MONDO:0001339	portal vein thrombosis	PORTAL VEIN THROMBOSIS	LYOPHILIZED HUMAN ANTITHROMBIN III CONCENTRATE	DRUGBANK:DB11598	Antithrombin III human	MONDO:0001339|DRUGBANK:DB11598
MONDO:0001356	iron deficiency anemia	IRON DEFICIENCY ANEMIA	ABACAVIR SULFATE	CHEBI:2361	abacavir sulfate	MONDO:0001356|CHEBI:2361
MONDO:0001356	iron deficiency anemia	IRON DEFICIENCY ANEMIA	FERRIC CITRATE HYDRATE	UNII:Q91187K011	Tetraferric tricitrate decahydrate	MONDO:0001356|UNII:Q91187K011
MONDO:0001356	iron deficiency anemia	IRON-DEFICIENCY ANAEMIA (CKD)	FERUMOXYTOL	CHEBI:46726	Ferumoxytol	MONDO:0001356|CHEBI:46726
MONDO:0001356	iron deficiency anemia	IRON-DEFICIENCY ANEMIA	FERRIC CARBOXYMALTOSE	UNII:6897GXD6OE	CID 86278165	MONDO:0001356|UNII:6897GXD6OE
MONDO:0001356	iron deficiency anemia	IRON-DEFICIENCY ANEMIA	FERRIC DERISOMALTOSE	UNII:AHU547PI9H	CID 86278348	MONDO:0001356|UNII:AHU547PI9H
MONDO:0001356	iron deficiency anemia	NUTRIENT DEFICIENCY	N/A FOR THIS COMBINATION DRUG	DRUGBANK:DB00083	Botulinum toxin type A	MONDO:0001356|DRUGBANK:DB00083
MONDO:0001356	iron deficiency anemia	OESTROGEN DEFICIENCY SYMPTOMS	OESTROGENS CONJUGATED, BAZEDOXIFENE	RXCUI:1441388	bazedoxifene / estrogens, conjugated (USP) Oral Product	MONDO:0001356|RXCUI:1441388
MONDO:0001356	iron deficiency anemia	OVARIAN DEFICIENCY SYMPTOMS	ESTRADIOL	CHEBI:16469	Estradiol	MONDO:0001356|CHEBI:16469
MONDO:0001356	iron deficiency anemia	OVARIAN DEFICIENCY SYMPTOMS	ESTRADIOL	CHEBI:16469	Estradiol	MONDO:0001356|CHEBI:16469
MONDO:0001356	iron deficiency anemia	OVARIAN DEFICIENCY SYMPTOMS	ESTRADIOL	CHEBI:16469	Estradiol	MONDO:0001356|CHEBI:16469
MONDO:0001356	iron deficiency anemia	OVARIAN DEFICIENCY SYMPTOMS	ESTRADIOL	CHEBI:16469	Estradiol	MONDO:0001356|CHEBI:16469
MONDO:0001356	iron deficiency anemia	OVARIAN DEFICIENCY SYMPTOMS	ESTRADIOL/NORETHISTERONE ACETATE	CHEBI:7627	Norethisterone	MONDO:0001356|CHEBI:7627
MONDO:0001356	iron deficiency anemia	TRIPEPTIDYL PEPTIDASE 1 (TPP1) DEFICIENCY	CERLIPONASE ALFA	UNII:X8R2D92QP1	Cerliponase alfa	MONDO:0001356|UNII:X8R2D92QP1
MONDO:0001371	protein-energy malnutrition	MALNUTRITION	"N/A FOR THIS COMBINATION
DRUG"	DRUGBANK:DB00083	Botulinum toxin type A	MONDO:0001371|DRUGBANK:DB00083
MONDO:0001371	protein-energy malnutrition	MALNUTRITION	N/A FOR THIS COMBINATION DRUG	DRUGBANK:DB00083	Botulinum toxin type A	MONDO:0001371|DRUGBANK:DB00083
MONDO:0001371	protein-energy malnutrition	MALNUTRITION	N/A FOR THIS COMBINATION DRUG	DRUGBANK:DB00083	Botulinum toxin type A	MONDO:0001371|DRUGBANK:DB00083
MONDO:0001371	protein-energy malnutrition	MALNUTRITION	N/A FOR THIS COMBINATION DRUG	DRUGBANK:DB00083	Botulinum toxin type A	MONDO:0001371|DRUGBANK:DB00083
MONDO:0001371	protein-energy malnutrition	MALNUTRITION	N/A FOR THIS COMBINATION DRUG	DRUGBANK:DB00083	Botulinum toxin type A	MONDO:0001371|DRUGBANK:DB00083
MONDO:0001371	protein-energy malnutrition	MALNUTRITION	N/A FOR THIS COMBINATION DRUG	DRUGBANK:DB00083	Botulinum toxin type A	MONDO:0001371|DRUGBANK:DB00083
MONDO:0001371	protein-energy malnutrition	MILD MALNUTRITION STATE	N/A FOR THIS COMBINATION DRUG	DRUGBANK:DB00083	Botulinum toxin type A	MONDO:0001371|DRUGBANK:DB00083
MONDO:0001371	protein-energy malnutrition	PERIOPERATIVE MALNUTRITION	N/A FOR THIS COMBINATION DRUG	DRUGBANK:DB00083	Botulinum toxin type A	MONDO:0001371|DRUGBANK:DB00083
MONDO:0001383	degenerative myopia	SUBFOVEAL CHOROIDAL NEOVASCULARISATION (CNV) SECONDARY TO PATHOLOGICAL MYOPIA	VERTEPORFIN	CHEBI:32293	Verteporfin	MONDO:0001383|CHEBI:32293
MONDO:0001384	myopia	CHOROIDAL NEOVASCULARISATION IN PATHOLOGIC MYOPIA	RANIBIZUMAB 	UNII:ZL1R02VT79	Ranibizumab	MONDO:0001384|UNII:ZL1R02VT79
MONDO:0001402	vaginal cancer	ADVANCED OR METASTATIC VAGINAL CANCER	BLEOMYCIN HYDROCHLORIDE	PUBCHEM.COMPOUND:20832750	Bleomycin hydrochloride	MONDO:0001402|PUBCHEM.COMPOUND:20832750
MONDO:0001402	vaginal cancer	VAGINAL CANCER	HUMAN PAPILLOMAVIRUS 9-VALENT VACCINE (RECOMBINANT, ADSORBED)	RXCUI:1597091	L1 protein, human papillomavirus type 11 vaccine / L1 protein, human papillomavirus type 16 vaccine / L1 protein, human papillomavirus type 18 vaccine / L1 protein, human papillomavirus type 31 vaccine / L1 protein, human papillomavirus type 33 vaccine / L1 protein, human papillomavirus type 45 vaccine / L1 protein, human papillomavirus type 52 vaccine / L1 protein, human papillomavirus type 58 vaccine / L1 protein, human papillomavirus type 6 vaccine Injectable Product	MONDO:0001402|RXCUI:1597091
MONDO:0001422	primary aldosteronism	PRIMARY ALDOSTERONISM	SPIRONOLACTONE	CHEBI:9241	Spironolactone	MONDO:0001422|CHEBI:9241
MONDO:0001462	descending colon cancer	COLON CANCER	BEVACIZUMAB  [BEVACIZUMAB BIOSIMILAR 2]	UNII:2S9ZZM9Q9V	Bevacizumab	MONDO:0001462|UNII:2S9ZZM9Q9V
MONDO:0001462	descending colon cancer	COLON CANCER	BEVACIZUMAB  [BEVACIZUMAB BIOSIMILAR 4]	UNII:2S9ZZM9Q9V	Bevacizumab	MONDO:0001462|UNII:2S9ZZM9Q9V
MONDO:0001462	descending colon cancer	COLON CANCER	CAPECITABINE	CHEBI:31348	Capecitabine	MONDO:0001462|CHEBI:31348
MONDO:0001462	descending colon cancer	COLON CANCER	CAPECITABINE	CHEBI:31348	Capecitabine	MONDO:0001462|CHEBI:31348
MONDO:0001462	descending colon cancer	COLON CANCER	CAPECITABINE	CHEBI:31348	Capecitabine	MONDO:0001462|CHEBI:31348
MONDO:0001462	descending colon cancer	COLON CANCER	CAPECITABINE	CHEBI:31348	Capecitabine	MONDO:0001462|CHEBI:31348
MONDO:0001462	descending colon cancer	COLON CANCER	CAPECITABINE	CHEBI:31348	Capecitabine	MONDO:0001462|CHEBI:31348
MONDO:0001462	descending colon cancer	COLON CANCER	CAPECITABINE	CHEBI:31348	Capecitabine	MONDO:0001462|CHEBI:31348
MONDO:0001462	descending colon cancer	COLON CANCER	CETUXIMAB 	UNII:PQX0D8J21J	Cetuximab	MONDO:0001462|UNII:PQX0D8J21J
MONDO:0001462	descending colon cancer	COLON CANCER	OXALIPLATIN	CHEBI:31941	Oxaliplatin	MONDO:0001462|CHEBI:31941
MONDO:0001462	descending colon cancer	COLON CANCER	OXALIPLATIN	CHEBI:31941	Oxaliplatin	MONDO:0001462|CHEBI:31941
MONDO:0001462	descending colon cancer	COLON CANCER	RAMUCIRUMAB 	UNII:D99YVK4L0X	Ramucirumab	MONDO:0001462|UNII:D99YVK4L0X
MONDO:0001462	descending colon cancer	COLON CANCER	"TEGAFUR GIMERACIL
OTERACIL POTASSIUM"	CHEBI:80230	CHEMBL3184847	MONDO:0001462|CHEBI:80230
MONDO:0001462	descending colon cancer	COLON CANCER	TRASTUZUMAB 	UNII:5384HK7574	Trastuzumab deruxtecan	MONDO:0001462|UNII:5384HK7574
MONDO:0001475	neutropenia	NEUTROPENIA	FILGRASTIM  [FILGRASTIM BIOSIMILAR 2]	UNII:PVI5M0M1GW	Filgrastim	MONDO:0001475|UNII:PVI5M0M1GW
MONDO:0001475	neutropenia	NEUTROPENIA	FILGRASTIM  [FILGRASTIM BIOSIMILAR 3]	UNII:PVI5M0M1GW	Filgrastim	MONDO:0001475|UNII:PVI5M0M1GW
MONDO:0001475	neutropenia	NEUTROPENIA	LIPEGFILGRASTIM	UNII:4AWF0N6QV3	Lipegfilgrastim	MONDO:0001475|UNII:4AWF0N6QV3
MONDO:0001475	neutropenia	NEUTROPENIA CAUSED BY CANCER CHEMOTHERAPY	"FILGRASTIM (GENETICAL
RECOMBINATION)"	UNII:PVI5M0M1GW	Filgrastim	MONDO:0001475|UNII:PVI5M0M1GW
MONDO:0001475	neutropenia	PERSISTENT NEUTROPENIA	FILGRASTIM	UNII:PVI5M0M1GW	Filgrastim	MONDO:0001475|UNII:PVI5M0M1GW
MONDO:0001516	spinal muscular atrophy	5Q SPINAL MUSCULAR ATROPHY	NUSINERSEN	UNII:5Z9SP3X666	Nusinersen	MONDO:0001516|UNII:5Z9SP3X666
MONDO:0001516	spinal muscular atrophy	5Q SPINAL MUSCULAR ATROPHY (SMA) TYPE 1	RISDIPLAM	UNII:76RS4S2ET1	Risdiplam	MONDO:0001516|UNII:76RS4S2ET1
MONDO:0001516	spinal muscular atrophy	5Q SPINAL MUSCULAR ATROPHY (SMA) TYPE 2	RISDIPLAM	UNII:76RS4S2ET1	Risdiplam	MONDO:0001516|UNII:76RS4S2ET1
MONDO:0001516	spinal muscular atrophy	5Q SPINAL MUSCULAR ATROPHY (SMA) TYPE 3	RISDIPLAM	UNII:76RS4S2ET1	Risdiplam	MONDO:0001516|UNII:76RS4S2ET1
MONDO:0001516	spinal muscular atrophy	SPINAL MUSCULAR ATROPHY	BACLOFEN	CHEBI:187893	Baclofen	MONDO:0001516|CHEBI:187893
MONDO:0001516	spinal muscular atrophy	SPINAL MUSCULAR ATROPHY	NUSINERSEN SODIUM	UNII:5Z9SP3X666	Nusinersen	MONDO:0001516|UNII:5Z9SP3X666
MONDO:0001516	spinal muscular atrophy	SPINAL MUSCULAR ATROPHY	NUSINERSEN SODIUM	UNII:5Z9SP3X666	Nusinersen	MONDO:0001516|UNII:5Z9SP3X666
MONDO:0001516	spinal muscular atrophy	SPINAL MUSCULAR ATROPHY	RISDIPLAM	UNII:76RS4S2ET1	Risdiplam	MONDO:0001516|UNII:76RS4S2ET1
MONDO:0001516	spinal muscular atrophy	SPINAL MUSCULAR ATROPHY (SMA)	MORPHINE HYDROCHLORIDE	CHEBI:55340	morphine hydrochloride	MONDO:0001516|CHEBI:55340
MONDO:0001516	spinal muscular atrophy	SPINAL MUSCULAR ATROPHY (SMA)	MORPHINE HYDROCHLORIDE	CHEBI:55340	morphine hydrochloride	MONDO:0001516|CHEBI:55340
MONDO:0001516	spinal muscular atrophy	SPINAL MUSCULAR ATROPHY (SMA)	MORPHINE HYDROCHLORIDE	CHEBI:55340	morphine hydrochloride	MONDO:0001516|CHEBI:55340
MONDO:0001516	spinal muscular atrophy	SPINAL MUSCULAR ATROPHY (SMA)	MORPHINE HYDROCHLORIDE	CHEBI:55340	morphine hydrochloride	MONDO:0001516|CHEBI:55340
MONDO:0001516	spinal muscular atrophy	SPINAL MUSCULAR ATROPHY (SMA) TYPE 1	ONASEMNOGENE ABEPARVOVEC	UNII:MLU3LU3EVV	Onasemnogene abeparvovec	MONDO:0001516|UNII:MLU3LU3EVV
MONDO:0001549	hemolytic-uremic syndrome	ATYPICAL HAEMOLYTIC UREMIC SYNDROME (AHUS)	ECULIZUMAB	UNII:A3ULP0F556	Eculizumab	MONDO:0001549|UNII:A3ULP0F556
MONDO:0001549	hemolytic-uremic syndrome	ATYPICAL HAEMOLYTIC UREMIC SYNDROME (AHUS)	RAVULIZUMAB	UNII:C3VX249T6L	Ravulizumab	MONDO:0001549|UNII:C3VX249T6L
MONDO:0001566	hypercalcemia disease	HYPERCALCEMIA	CINACALCET HYDROCHLORIDE	CHEBI:48390	Cinacalcet	MONDO:0001566|CHEBI:48390
MONDO:0001566	hypercalcemia disease	HYPERCALCEMIA	EVOCALCET	UNII:E58MLH082P	Evocalcet	MONDO:0001566|UNII:E58MLH082P
MONDO:0001566	hypercalcemia disease	HYPERCALCEMIA	IBANDRONIC ACID	UNII:UMD7G2653W	Ibandronate	MONDO:0001566|UNII:UMD7G2653W
MONDO:0001566	hypercalcemia disease	HYPERCALCEMIA	N/A FOR THIS COMBINATION DRUG	DRUGBANK:DB00083	Botulinum toxin type A	MONDO:0001566|DRUGBANK:DB00083
MONDO:0001566	hypercalcemia disease	HYPERCALCEMIA	N/A FOR THIS COMBINATION DRUG	DRUGBANK:DB00083	Botulinum toxin type A	MONDO:0001566|DRUGBANK:DB00083
MONDO:0001566	hypercalcemia disease	HYPERCALCEMIA	N/A FOR THIS COMBINATION DRUG	DRUGBANK:DB00083	Botulinum toxin type A	MONDO:0001566|DRUGBANK:DB00083
MONDO:0001566	hypercalcemia disease	HYPERCALCEMIA	N/A FOR THIS COMBINATION DRUG	DRUGBANK:DB00083	Botulinum toxin type A	MONDO:0001566|DRUGBANK:DB00083
MONDO:0001577	respiratory syncytial virus infectious disease	LOWER RESPIRATORY TRACT DISEASE (LRTD) CAUSED BY RESPIRATORY SYNCYTIAL VIRUS	RECOMBINANT RESPIRATORY SYNCYTIAL VIRUS PRE-FUSION F PROTEIN, ADJUVANTED WITH AS01E	DRUGBANK:DB18714	Recombinant stabilized RSV B prefusion F antigen	MONDO:0001577|DRUGBANK:DB18714
MONDO:0001577	respiratory syncytial virus infectious disease	LOWER RESPIRATORY TRACT DISEASE CAUSED BY RESPIRATORY SYNCYTIAL (RS) VIRUS INFECTION	NIRSEVIMAB 	UNII:VRN8S9CW5V	Nirsevimab	MONDO:0001577|UNII:VRN8S9CW5V
MONDO:0001577	respiratory syncytial virus infectious disease	LOWER RESPIRATORY TRACT DISEASE CAUSED BY RESPIRATORY SYNCYTIAL VIRUS (RSV)	RESPIRATORY SYNCYTIAL VIRUS VACCINE (BIVALENT, RECOMBINANT)	DRUGBANK:DB18714	Recombinant stabilized RSV B prefusion F antigen	MONDO:0001577|DRUGBANK:DB18714
MONDO:0001577	respiratory syncytial virus infectious disease	RESPIRATORY SYNCYTIAL VIRUS	CEFTRIAXONE SODIUM	CHEBI:3514	Ceftriaxone disodium salt hemiheptahydrate	MONDO:0001577|CHEBI:3514
MONDO:0001577	respiratory syncytial virus infectious disease	RESPIRATORY SYNCYTIAL VIRUS (RSV) DISEASE	PALIVIZUMAB	UNII:DQ448MW7KS	Palivizumab	MONDO:0001577|UNII:DQ448MW7KS
MONDO:0001577	respiratory syncytial virus infectious disease	RESPIRATORY SYNCYTIAL VIRUS (RSV) INFECTION	PALIVIZUMAB 	UNII:DQ448MW7KS	Palivizumab	MONDO:0001577|UNII:DQ448MW7KS
MONDO:0001577	respiratory syncytial virus infectious disease	RESPIRATORY SYNCYTIAL VIRUS (RSV) INFECTION	PALIVIZUMAB 	UNII:DQ448MW7KS	Palivizumab	MONDO:0001577|UNII:DQ448MW7KS
MONDO:0001577	respiratory syncytial virus infectious disease	RESPIRATORY SYNCYTIAL VIRUS (RSV) INFECTION	RECOMBINANT RESPIRATORY SYNCYTIAL VIRUS PREF3 ANTIGEN	DRUGBANK:DB18714	Recombinant stabilized RSV B prefusion F antigen	MONDO:0001577|DRUGBANK:DB18714
MONDO:0001577	respiratory syncytial virus infectious disease	RESPIRATORY SYNCYTIAL VIRUS (RSV) LOWER RESPIRATORY TRACT DISEASE	NIRSEVIMAB	UNII:VRN8S9CW5V	Nirsevimab	MONDO:0001577|UNII:VRN8S9CW5V
MONDO:0001577	respiratory syncytial virus infectious disease	RESPIRATORY SYNCYTIAL VIRUS INFECTION	PALIVIZUMAB 	UNII:DQ448MW7KS	Palivizumab	MONDO:0001577|UNII:DQ448MW7KS
MONDO:0001577	respiratory syncytial virus infectious disease	RESPIRATORY SYNCYTIAL VIRUS INFECTION	"RESPIRATORY SYNCYTIAL VIRUS-A PREFUSION F PROTEIN
RESPIRATORY SYNCYTIAL VIRUS-B PREFUSION F PROTEIN"	DRUGBANK:DB18714	Recombinant stabilized RSV B prefusion F antigen	MONDO:0001577|DRUGBANK:DB18714
MONDO:0001577	respiratory syncytial virus infectious disease	RESPIRATORY SYNCYTIAL VIRUS INFECTION	"RESPIRATORY SYNCYTIAL VIRUS-A PREFUSION F PROTEIN
RESPIRATORY SYNCYTIAL VIRUS-B PREFUSION F PROTEIN"	DRUGBANK:DB18714	Recombinant stabilized RSV B prefusion F antigen	MONDO:0001577|DRUGBANK:DB18714
MONDO:0001586	mucopolysaccharidosis type 1	MUCOPOLYSACCHARIDOSIS I (MPS I; ALPHA-L-IDURONIDASE DEFICIENCY)	LARONIDASE	UNII:WP58SVM6R4	Laronidase	MONDO:0001586|UNII:WP58SVM6R4
MONDO:0001590	quadriplegia	PH+ ALL	DASATINIB (ANHYDROUS)	CHEBI:49375	Dasatinib	MONDO:0001590|CHEBI:49375
MONDO:0001601	Plasmodium ovale malaria	MALARIA CAUSED BY PLASMODIUM OVALE	PRIMAQUINE PHOSPHATE	UNII:H0982HF78B	PRIMAQUINE PHOSPHATE	MONDO:0001601|UNII:H0982HF78B
MONDO:0001628	tinea unguium	ONYCHOMYCOSIS	FOSRAVUCONAZOLE L- LYSINE ETHANOLATE	UNII:QC4G8XS0H0	Fosravuconazole L-Lysine Ethanolate	MONDO:0001628|UNII:QC4G8XS0H0
MONDO:0001628	tinea unguium	TINEA UNGUIUM	EFINACONAZOLE	CHEBI:82718	Efinaconazole	MONDO:0001628|CHEBI:82718
MONDO:0001628	tinea unguium	TINEA UNGUIUM	LULICONAZOLE	CHEBI:34825	Luliconazole	MONDO:0001628|CHEBI:34825
MONDO:0001638	protein-deficiency anemia	TRANSFUSION-DEPENDENT ANAEMIA DUE TO VERY LOW	LUSPATERCEPT	UNII:AQK7UBA1LS	Luspatercept	MONDO:0001638|UNII:AQK7UBA1LS
MONDO:0001648	esophageal candidiasis	CANDIDIASIS (ORAL AND ESOPHAGEAL)	VORICONAZOLE	CHEBI:10023	Voriconazole	MONDO:0001648|CHEBI:10023
MONDO:0001648	esophageal candidiasis	ESOPHAGEAL CANDIDIASIS	CASPOFUNGIN ACETATE	CHEBI:59900	caspofungin acetate	MONDO:0001648|CHEBI:59900
MONDO:0001648	esophageal candidiasis	ESOPHAGEAL CANDIDIASIS	CASPOFUNGIN ACETATE	CHEBI:59900	caspofungin acetate	MONDO:0001648|CHEBI:59900
MONDO:0001648	esophageal candidiasis	ESOPHAGEAL CANDIDIASIS	ITRACONAZOLE	CHEBI:6076	Itraconazole	MONDO:0001648|CHEBI:6076
MONDO:0001648	esophageal candidiasis	ESOPHAGEAL CANDIDIASIS	LULICONAZOLE	CHEBI:34825	Luliconazole	MONDO:0001648|CHEBI:34825
MONDO:0001648	esophageal candidiasis	OESOPHAGEAL CANDIDIASIS	ITRACONAZOLE	CHEBI:6076	Itraconazole	MONDO:0001648|CHEBI:6076
MONDO:0001648	esophageal candidiasis	OESOPHAGEAL CANDIDIASIS	MICAFUNGIN	PUBCHEM.COMPOUND:78357831	micafungin	MONDO:0001648|PUBCHEM.COMPOUND:78357831
MONDO:0001648	esophageal candidiasis	OROPHARYNGEAL CANDIDIASIS CAUSED BY CANDIDA	MICONAZOLE	CHEBI:6923	Miconazole	MONDO:0001648|CHEBI:6923
MONDO:0001657	brain cancer	ADVANCED OR METASTATIC BRAIN CANCER	BLEOMYCIN HYDROCHLORIDE	PUBCHEM.COMPOUND:20832750	Bleomycin hydrochloride	MONDO:0001657|PUBCHEM.COMPOUND:20832750
MONDO:0001657	brain cancer	BRAIN CANCER	PAMIDRONATE DISODIUM	UNII:C7S8VWP5DH	PAMIDRONATE DISODIUM	MONDO:0001657|UNII:C7S8VWP5DH
MONDO:0001657	brain cancer	BRAIN CANCER	PEGFILGRASTIM	UNII:3A58010674	Pegfilgrastim	MONDO:0001657|UNII:3A58010674
MONDO:0001657	brain cancer	INFECTIONS OF THE BRAIN	MORPHINE HYDROCHLORIDE	CHEBI:55340	morphine hydrochloride	MONDO:0001657|CHEBI:55340
