drug|disease	disease ID labels	drug ID Label	drug ID	disease IDs	active ingredients in therapy	list of diseases
MONDO:0001383|CHEBI:32293	degenerative myopia	Verteporfin	CHEBI:32293	MONDO:0001383	['VERTEPORFIN']	['PATHOLOGICAL MYOPIA']
MONDO:0001384|UNII:ZL1R02VT79	myopia	Ranibizumab	UNII:ZL1R02VT79	MONDO:0001384	['RANIBIZUMAB ']	['CHOROIDAL NEOVASCULARISATION IN PATHOLOGIC MYOPIA']
MONDO:0001397|CHEBI:16199	mononeuropathy	Urea	CHEBI:16199	MONDO:0001397	['UREA']	['DAMAGED']
MONDO:0001402|PUBCHEM.COMPOUND:91820602	vaginal cancer	Hyaluronidase (human recombinant)	PUBCHEM.COMPOUND:91820602	MONDO:0001402	['HUMAN PAPILLOMAVIRUS 9-VALENT VACCINE (RECOMBINANT, ADSORBED)']	['VAGINAL CANCER']
MONDO:0001404|CHEBI:17833	ecthyma	Gentamicin	CHEBI:17833	MONDO:0001404	['GENTAMICIN']	['ECTHYMA']
MONDO:0001405|CHEBI:27779	dermatophytosis of groin and perianal area	Griseofulvin	CHEBI:27779	MONDO:0001405	['GRISEOFULVIN']	['TINEA CRURIS', 'TINEA CRURIS (RINGWORM OF THE GROIN AND THIGH)', 'TINEA CRURIS (RINGWORM OF THE THIGH)']
MONDO:0001405|CHEBI:3077	dermatophytosis of groin and perianal area	Betamethasone	CHEBI:3077	MONDO:0001405	['CLOTRIMAZOLE, BETAMETHASONE', 'CLOTRIMAZOLE, BETAMETHASONE, ZINC OXIDE']	['TINEA CRURIS', 'TINEA CRURIS (JOCK ITCH)']
MONDO:0001405|CHEBI:34825	dermatophytosis of groin and perianal area	Luliconazole	CHEBI:34825	MONDO:0001405	['LULICONAZOLE']	['TINEA CRURIS']
MONDO:0001405|CHEBI:3764	dermatophytosis of groin and perianal area	Clotrimazole	CHEBI:3764	MONDO:0001405	['CLOTRIMAZOLE']	['TINEA CRURIS', 'TINEA CRURIS DUE TO EPIDERMOPHYTON FLUOCCOSUM', 'TINEA CRURIS DUE TO MICROSPORUM CANIS', 'TINEA CRURIS DUE TO TRICHOPHYTON MENTAGROPHYTES']
MONDO:0001405|CHEBI:453011	dermatophytosis of groin and perianal area	Ciclopirox	CHEBI:453011	MONDO:0001405	['CICLOPIROX']	['TINEA CRURIS']
MONDO:0001405|CHEBI:47518	dermatophytosis of groin and perianal area	Levoketoconazole	CHEBI:47518	MONDO:0001405	['KETOCONAZOLE', 'UREA, KETOCONAZOLE']	['TINEA CRURIS']
MONDO:0001405|CHEBI:4754	dermatophytosis of groin and perianal area	Econazole	CHEBI:4754	MONDO:0001405	['ECONAZOLE']	['TINEA CRURIS']
MONDO:0001405|CHEBI:5781	dermatophytosis of groin and perianal area	HYDROCORTISONE SODIUM PHOSPHATE	CHEBI:5781	MONDO:0001405	['ALOE VERA LEAF, HYDROCORTISONE, IODOQUINOL', 'HYDROCORTISONE, IODOQUINOL, ALOE VERA LEAF']	['CRURIS', 'TINEA CRURIS']
MONDO:0001405|CHEBI:5950	dermatophytosis of groin and perianal area	Diiodohydroxyquinoline	CHEBI:5950	MONDO:0001405	['ALOE VERA LEAF, IODOQUINOL']	['CRURIS']
MONDO:0001405|CHEBI:71415	dermatophytosis of groin and perianal area	Nitrofurantoin	CHEBI:71415	MONDO:0001405	['NITROFURANTOIN']	['AND CERTAIN SUSCEPTIBLE STRAINS OF KLEBSIELLA AND ENTEROBACTER SPECIES)']
MONDO:0001405|CHEBI:7451	dermatophytosis of groin and perianal area	naftifine	CHEBI:7451	MONDO:0001405	['NAFTIFINE']	['TINEA CRURIS']
MONDO:0001405|CHEBI:7825	dermatophytosis of groin and perianal area	Oxiconazole	CHEBI:7825	MONDO:0001405	['OXICONAZOLE']	['TINEA CRURIS']
MONDO:0001405|CHEBI:9326	dermatophytosis of groin and perianal area	SULCONAZOLE NITRATE	CHEBI:9326	MONDO:0001405	['SULCONAZOLE']	['TINEA CRURIS']
MONDO:0001405|RXCUI:377716	dermatophytosis of groin and perianal area	hydrocortisone / iodoquinol Topical Cream	RXCUI:377716	MONDO:0001405	['HYDROCORTISONE, IODOQUINOL']	['CRURIS', 'TINEA CRURIS']
MONDO:0001409|CHEBI:31934	esophagitis	OMEPRAZOLE SODIUM	CHEBI:31934	MONDO:0001409	['OMEPRAZOLE']	['ESOPHAGITIS', 'ESOPHAGITIS DUE TO ACID-MEDIATED GERD', 'ESOPHAGITIS DUE TO GERD']
MONDO:0001409|CHEBI:4975	esophagitis	Famotidine	CHEBI:4975	MONDO:0001409	['FAMOTIDINE']	['ESOPHAGITIS', 'ESOPHAGITIS (GERD)', 'ESOPHAGITIS DUE TO GERD']
MONDO:0001409|CHEBI:6375	esophagitis	Lansoprazole	CHEBI:6375	MONDO:0001409	['LANSOPRAZOLE']	['EROSIVE ESOPHAGITIS (HEALING AND PREVENTION OF RELAPSE)', 'HEALING OF EROSIVE ESOPHAGITIS ASSOCIATED WITH GERD', 'MAINTENANCE OF HEALING OF EROSIVE ESOPHAGITIS', 'MAINTENANCE OF HEALING OF EROSIVE ESOPHAGITIS ASSOCIATED WITH GERD']
MONDO:0001409|CHEBI:7601	esophagitis	Nizatidine	CHEBI:7601	MONDO:0001409	['NIZATIDINE']	['ESOPHAGITIS', 'ESOPHAGITIS (INCLUDING EROSIVE AND ULCERATIVE ESOPHAGITIS)']
MONDO:0001409|CHEBI:7915	esophagitis	Pantoprazole	CHEBI:7915	MONDO:0001409	['PANTOPRAZOLE']	['EROSIVE ESOPHAGITIS (HEALING AND PREVENTION OF RE-OCCURRENCE)', 'EROSIVE ESOPHAGITIS (HEALING AND PREVENTION OF RECURRENCE)', 'HEALING OF EROSIVE ESOPHAGITIS', 'HEALING OF EROSIVE ESOPHAGITIS ASSOCIATED WITH GERD', 'LONG-TERM MAINTENANCE OF HEALED EROSIVE ESOPHAGITIS', 'LONG-TERM MAINTENANCE TREATMENT OF HEALED EROSIVE ESOPHAGITIS TO PREVENT RECURRENCE', 'MAINTENANCE OF HEALED EROSIVE ESOPHAGITIS ASSOCIATED WITH GERD', 'MAINTENANCE OF HEALED ESOPHAGITIS ASSOCIATED WITH GERD', 'MAINTENANCE OF HEALING OF EROSIVE ESOPHAGITIS', 'MAINTENANCE OF HEALING OF EROSIVE ESOPHAGITIS ASSOCIATED WITH GERD', 'MAINTENANCE THERAPY FOR HEALING OF EROSIVE ESOPHAGITIS', 'SHORT-TERM TREATMENT (UP TO 4 WEEKS) OF EROSIVE ESOPHAGITIS ASSOCIATED WITH GERD', 'SHORT-TERM TREATMENT OF EROSIVE ESOPHAGITIS', 'SHORT-TERM TREATMENT OF EROSIVE ESOPHAGITIS ASSOCIATED WITH GERD', 'SHORT-TERM TREATMENT OF EROSIVE ESOPHAGITIS ASSOCIATED WITH NSAID USE', 'TREATMENT OF EROSIVE ESOPHAGITIS ASSOCIATED WITH NSAID USE']
MONDO:0001410|CHEBI:16469	postmenopausal atrophic vaginitis	Estradiol	CHEBI:16469	MONDO:0001410	['ESTRADIOL']	['AND ATROPHIC VAGINITIS)', 'ATROPHIC VAGINITIS']
MONDO:0001422|CHEBI:6446	primary aldosteronism	levothyroxine sodium anhydrous	CHEBI:6446	MONDO:0001422	['PEPPERMINT, SPIRONOLACTONE, ANHYDROUS LACTOSE']	['PRIMARY HYPERALDOSTERONISM']
MONDO:0001422|CHEBI:8382	primary aldosteronism	Prednisone	CHEBI:8382	MONDO:0001422	['PREDNISONE']	['PRIMARY ALDOSTERONISM', 'PRIMARY AND SECONDARY ALDOSTERONISM']
MONDO:0001422|CHEBI:9241	primary aldosteronism	Spironolactone	CHEBI:9241	MONDO:0001422	['SPIRONOLACTONE']	['HYPERALDOSTERONISM (PRIMARY AND SECONDARY)', 'HYPERALDOSTERONISM (PRIMARY)', 'PRIMARY ALDOSTERONISM', 'PRIMARY HYPERALDOSTERONISM', 'PRIMARY HYPERALDOSTERONISM (1.4)', 'PRIMARY HYPERALDOSTERONISM (DIAGNOSTIC)', 'PRIMARY HYPERALDOSTERONISM (DIAGNOSTIC/CONTRAST/RADIOLABEL)']
MONDO:0001422|RXCUI:17276	primary aldosteronism	Aldactazide	RXCUI:17276	MONDO:0001422	['HYDROCHLOROTHIAZIDE, SPIRONOLACTONE']	['HYPERALDOSTERONISM (PRIMARY AND SECONDARY)']
MONDO:0001428|CHEBI:16684	pylorospasm	Atropine	CHEBI:16684	MONDO:0001428	['ATROPINE', 'HYOSCYAMINE']	['PYLOROSPASM']
MONDO:0001428|CHEBI:8069	pylorospasm	Phenobarbital	CHEBI:8069	MONDO:0001428	['PHENOBARBITAL']	['PYLOROSPASM', 'PYLOROSPASM (IN INFANTS)', 'PYLOROSPASM (INFANTS)', 'PYLOROSPASM IN INFANTS']
MONDO:0001444|CHEBI:133833	Chagas disease	Benznidazole	CHEBI:133833	MONDO:0001444	['BENZNIDAZOLE']	['CHAGAS DISEASE (AMERICAN TRYPANOSOMIASIS)']
MONDO:0001444|CHEBI:34730	Chagas disease	DOXYCYCLINE HYCLATE	CHEBI:34730	MONDO:0001444	['DOXYCYCLINE ANHYDROUS']	['INFECTIONS CAUSED BY  TRYPANOSOMA CRUZI']
MONDO:0001444|CHEBI:7566	Chagas disease	Nifurtimox	CHEBI:7566	MONDO:0001444	['NIFURTIMOX']	['CHAGAS DISEASE (AMERICAN TRYPANOSOMIASIS)']
MONDO:0001447|CHEBI:144551	detrusor sphincter dyssynergia	Oxybutynin	CHEBI:144551	MONDO:0001447	['OXYBUTYNIN']	['DETRUSOR OVERACTIVITY (ASSOCIATED WITH A NEUROLOGICAL CONDITION', 'DETRUSOR OVERACTIVITY (ASSOCIATED WITH A NEUROLOGICAL CONDITION)', 'DETRUSOR OVERACTIVITY (ASSOCIATED WITH A NEUROLOGICAL CONDITION) (E.G.', 'DETRUSOR OVERACTIVITY (ASSOCIATED WITH NEUROLOGICAL CONDITION - PREVENTATIVE)', 'DETRUSOR OVERACTIVITY (NEUROLOGICAL CONDITION', 'DETRUSOR OVERACTIVITY ASSOCIATED WITH A NEUROLOGICAL CONDITION', 'DETRUSOR OVERACTIVITY ASSOCIATED WITH A NEUROLOGICAL CONDITION (E.G.']
MONDO:0001449|CHEBI:6909	lymphocytic choriomeningitis	Metronidazole	CHEBI:6909	MONDO:0001449	['METRONIDAZOLE']	['MENINGITIS (CAUSED BY BACTEROIDES SPECIES INCLUDING THE B. FRAGILIS GROUP)', 'MENINGITIS (CAUSED BY BACTEROIDES SPECIES)', 'MENINGITIS (CAUSED BY BACTEROIDES)']
MONDO:0001449|CHEBI:8310	lymphocytic choriomeningitis	Polymyxin B	CHEBI:8310	MONDO:0001449	['POLYMYXIN B']	['MENINGITIS (CAUSED BY P. AERUGINOSA)', 'MENINGITIS CAUSED BY SUSCEPTIBLE STRAINS OF PS. AERUGINOSA']
MONDO:0001449|CHEBI:8382	lymphocytic choriomeningitis	Prednisone	CHEBI:8382	MONDO:0001449	['PREDNISONE']	['MENINGITIS AND MENINGOENCEPHALITIS CAUSED BY OTHER ORGANISMS']
MONDO:0001461|CHEBI:27779	tinea corporis	Griseofulvin	CHEBI:27779	MONDO:0001461	['GRISEOFULVIN']	['RINGWORM INFECTIONS OF THE HAIR', 'RINGWORM INFECTIONS OF THE NAILS', 'RINGWORM OF THE NAILS)', 'TINEA CORPORIS', 'TINEA CORPORIS (RINGWORM OF THE BODY)']
MONDO:0001461|CHEBI:3077	tinea corporis	Betamethasone	CHEBI:3077	MONDO:0001461	['CLOTRIMAZOLE, BETAMETHASONE', 'CLOTRIMAZOLE, BETAMETHASONE, ZINC OXIDE']	['TINEA CORPORIS', 'TINEA CORPORIS (RINGWORM)']
MONDO:0001461|CHEBI:34825	tinea corporis	Luliconazole	CHEBI:34825	MONDO:0001461	['LULICONAZOLE']	['TINEA CORPORIS']
MONDO:0001461|CHEBI:3764	tinea corporis	Clotrimazole	CHEBI:3764	MONDO:0001461	['CLOTRIMAZOLE']	['TINEA CORPORIS', 'TINEA CORPORIS (DUE TO TRICHOPHYTON RUBRUM', 'TINEA CORPORIS DUE TO EPIDERMOPHYTON FLOCCOSUM', 'TINEA CORPORIS DUE TO EPIDERMOPHYTON FLUOCCOSUM', 'TINEA CORPORIS DUE TO MICROSPORUM CANIS', 'TINEA CORPORIS DUE TO TRICHOPHYTON MENTAGROPHYTES', 'TINEA CORPORIS DUE TO TRICHOPHYTON RUBRUM']
MONDO:0001461|CHEBI:453011	tinea corporis	Ciclopirox	CHEBI:453011	MONDO:0001461	['CICLOPIROX']	['TINEA CORPORIS']
MONDO:0001461|CHEBI:47518	tinea corporis	Levoketoconazole	CHEBI:47518	MONDO:0001461	['KETOCONAZOLE', 'UREA, KETOCONAZOLE']	['TINEA CORPORIS']
MONDO:0001461|CHEBI:4754	tinea corporis	Econazole	CHEBI:4754	MONDO:0001461	['ECONAZOLE']	['TINEA CORPORIS']
MONDO:0001461|CHEBI:5781	tinea corporis	HYDROCORTISONE SODIUM PHOSPHATE	CHEBI:5781	MONDO:0001461	['ALOE VERA LEAF, HYDROCORTISONE, IODOQUINOL', 'HYDROCORTISONE, IODOQUINOL, ALOE VERA LEAF']	['CORPORIS', 'TINEA CORPORIS']
MONDO:0001461|CHEBI:5950	tinea corporis	Diiodohydroxyquinoline	CHEBI:5950	MONDO:0001461	['ALOE VERA LEAF, IODOQUINOL']	['CORPORIS']
MONDO:0001461|CHEBI:7451	tinea corporis	naftifine	CHEBI:7451	MONDO:0001461	['NAFTIFINE']	['TINEA CORPORIS']
MONDO:0001461|CHEBI:7825	tinea corporis	Oxiconazole	CHEBI:7825	MONDO:0001461	['OXICONAZOLE']	['TINEA CORPORIS']
MONDO:0001461|CHEBI:9326	tinea corporis	SULCONAZOLE NITRATE	CHEBI:9326	MONDO:0001461	['SULCONAZOLE']	['TINEA CORPORIS']
MONDO:0001461|CHEBI:9620	tinea corporis	Tolnaftate	CHEBI:9620	MONDO:0001461	['TOLNAFTATE']	['RINGWORM (TINEA CORPORIS)']
MONDO:0001461|RXCUI:377716	tinea corporis	hydrocortisone / iodoquinol Topical Cream	RXCUI:377716	MONDO:0001461	['HYDROCORTISONE, IODOQUINOL']	['CORPORIS', 'TINEA CORPORIS']
MONDO:0001462|CHEBI:31348	descending colon cancer	Capecitabine	CHEBI:31348	MONDO:0001462	['CAPECITABINE', 'CROSCARMELLOSE, CAPECITABINE']	['COLON CANCER']
MONDO:0001462|CHEBI:31941	descending colon cancer	Oxaliplatin	CHEBI:31941	MONDO:0001462	['OXALIPLATIN']	['COLON CANCER']
MONDO:0001462|CHEBI:5864	descending colon cancer	Ifosfamide	CHEBI:5864	MONDO:0001462	['IFOSFAMIDE']	['COLON CANCER']
MONDO:0001462|CHEBI:80230	descending colon cancer	Potassium 2,6-dihydroxytriazinecarboxylate	CHEBI:80230	MONDO:0001462	['TEGAFUR GIMERACIL\nOTERACIL POTASSIUM']	['COLON CANCER']
MONDO:0001462|UNII:2S9ZZM9Q9V	descending colon cancer	Bevacizumab	UNII:2S9ZZM9Q9V	MONDO:0001462	['BEVACIZUMAB  [BEVACIZUMAB BIOSIMILAR 2]', 'BEVACIZUMAB  [BEVACIZUMAB BIOSIMILAR 4]']	['COLON CANCER']
MONDO:0001462|UNII:D99YVK4L0X	descending colon cancer	Ramucirumab	UNII:D99YVK4L0X	MONDO:0001462	['RAMUCIRUMAB ']	['COLON CANCER']
MONDO:0001462|UNII:PQX0D8J21J	descending colon cancer	Cetuximab	UNII:PQX0D8J21J	MONDO:0001462	['CETUXIMAB ']	['COLON CANCER']
MONDO:0001465|CHEBI:25939	superficial keratitis	permanganate	CHEBI:25939	MONDO:0001465	['PERMANGANATE ION']	['SUPERFICIAL FESTERING WOUNDS']
MONDO:0001465|CHEBI:4462	superficial keratitis	DEXAMETHASONE SODIUM PHOSPHATE	CHEBI:4462	MONDO:0001465	['DEXAMETHASONE']	['SUPERFICIAL PUNCTUATE KERATITIS']
MONDO:0001465|RXCUI:321369	superficial keratitis	Oraqix	RXCUI:321369	MONDO:0001465	['LIDOCAINE, PRILOCAINE']	['SUPERFICIAL MINOR SURGERY']
MONDO:0001466|CHEBI:194135	punctate epithelial keratoconjunctivitis	Ofloxacin	CHEBI:194135	MONDO:0001466	['OFLOXACIN']	['ACUTE SUPERFICIAL PUNCTATE KERATITIS']
MONDO:0001466|CHEBI:31784	punctate epithelial keratoconjunctivitis	Loteprednol etabonate	CHEBI:31784	MONDO:0001466	['LOTEPREDNOL', 'LOTEPREDNOL ETABONATE', 'LOTEPREDNOL, TOBRAMYCIN']	['SUPERFICIAL PUNCTATE KERATITIS']
MONDO:0001466|CHEBI:4462	punctate epithelial keratoconjunctivitis	DEXAMETHASONE SODIUM PHOSPHATE	CHEBI:4462	MONDO:0001466	['DEXAMETHASONE']	['SUPERFICIAL PUNCTATE KERATITIS']
MONDO:0001466|CHEBI:4735	punctate epithelial keratoconjunctivitis	Edetic acid	CHEBI:4735	MONDO:0001466	['PREDNISOLONE, EDETIC ACID']	['SUPERFICIAL PUNCTATE KERATITIS']
MONDO:0001466|CHEBI:8378	punctate epithelial keratoconjunctivitis	Prednisolone	CHEBI:8378	MONDO:0001466	['PREDNISOLONE']	['SUPERFICIAL PUNCTATE KERATITIS']
MONDO:0001475|UNII:4AWF0N6QV3	neutropenia	Lipegfilgrastim	UNII:4AWF0N6QV3	MONDO:0001475	['LIPEGFILGRASTIM']	['NEUTROPENIA']
MONDO:0001475|UNII:PVI5M0M1GW	neutropenia	Filgrastim	UNII:PVI5M0M1GW	MONDO:0001475	['FILGRASTIM', 'FILGRASTIM  [FILGRASTIM BIOSIMILAR 2]', 'FILGRASTIM  [FILGRASTIM BIOSIMILAR 3]', 'FILGRASTIM (GENETICAL\nRECOMBINATION)']	['NEUTROPENIA', 'NEUTROPENIA CAUSED BY CANCER CHEMOTHERAPY', 'PERSISTENT NEUTROPENIA']
MONDO:0001485|CHEBI:8060	atypical depressive disorder	Phenelzine	CHEBI:8060	MONDO:0001485	['PHENELZINE']	['DEPRESSION (ATYPICAL)']
MONDO:0001499|CHEBI:31711	retroperitoneal lymphoma	Iopamidol	CHEBI:31711	MONDO:0001499	['IOPAMIDOL']	['RETROPERITONEAL SPACE LESIONS']
MONDO:0001499|CHEBI:31713	retroperitoneal lymphoma	Iothalamic acid	CHEBI:31713	MONDO:0001499	['IOTHALAMIC ACID']	['LESIONS IN THE RETROPERITONEAL SPACE (DIAGNOSTIC/CONTRAST/RADIOLABEL)']
MONDO:0001505|CHEBI:8382	alcoholic hepatitis	Prednisone	CHEBI:8382	MONDO:0001505	['PREDNISONE']	['ACUTE ALCOHOLIC HEPATITIS', 'ALCOHOLIC HEPATITIS']
MONDO:0001509|CHEBI:8382	endocrine exophthalmos	Prednisone	CHEBI:8382	MONDO:0001509	['PREDNISONE']	['INFILTRATIVE OPHTHALMOPATHY', 'INFILTRATIVE OPHTHALMOPATHY (E.G.', 'THYROID OPHTHALMOPATHY)']
MONDO:0001509|UNII:Y64GQ0KC0A	endocrine exophthalmos	Teprotumumab	UNII:Y64GQ0KC0A	MONDO:0001509	['TEPROTUMUMAB']	['THYROID EYE DISEASE']
MONDO:0001516|CHEBI:17824	spinal muscular atrophy	Isopropyl alcohol	CHEBI:17824	MONDO:0001516	['ISOPROPYL ALCOHOL, ADENO-ASSOCIATED VIRUS']	['SPINAL MUSCULAR ATROPHY (SMA)']
MONDO:0001516|CHEBI:4911	spinal muscular atrophy	Etoposide	CHEBI:4911	MONDO:0001516	['ETOPOSIDE']	['SPINAL MUSCULAR ATROPHY']
MONDO:0001516|CHEBI:55340	spinal muscular atrophy	MORPHINE HYDROCHLORIDE	CHEBI:55340	MONDO:0001516	['MORPHINE HYDROCHLORIDE']	['SPINAL MUSCULAR ATROPHY (SMA)']
MONDO:0001516|CHEBI:8382	spinal muscular atrophy	Prednisone	CHEBI:8382	MONDO:0001516	['PREDNISONE']	['SPINAL MUSCULAR ATROPHY (SMA)']
MONDO:0001516|RXCUI:2637040	spinal muscular atrophy	glycopyrronium / neostigmine Prefilled Syringe	RXCUI:2637040	MONDO:0001516	['GLYCOPYRRONIUM']	['SPINAL MUSCULAR ATROPHY (SMA)']
MONDO:0001516|UNII:5Z9SP3X666	spinal muscular atrophy	Nusinersen	UNII:5Z9SP3X666	MONDO:0001516	['NUSINERSEN', 'NUSINERSEN SODIUM']	['5Q SPINAL MUSCULAR ATROPHY', 'SPINAL MUSCULAR ATROPHY', 'SPINAL MUSCULAR ATROPHY (SMA)']
MONDO:0001516|UNII:76RS4S2ET1	spinal muscular atrophy	Risdiplam	UNII:76RS4S2ET1	MONDO:0001516	['RISDIPLAM']	['SPINAL MUSCULAR ATROPHY', 'SPINAL MUSCULAR ATROPHY (SMA)', 'SPINAL MUSCULAR ATROPHY (SMA) TYPE 1', 'SPINAL MUSCULAR ATROPHY (SMA) TYPE 2', 'SPINAL MUSCULAR ATROPHY (SMA) TYPE 3']
MONDO:0001516|UNII:MLU3LU3EVV	spinal muscular atrophy	Onasemnogene abeparvovec	UNII:MLU3LU3EVV	MONDO:0001516	['ONASEMNOGENE ABEPARVOVEC']	['SPINAL MUSCULAR ATROPHY (SMA) TYPE 1']
MONDO:0001517|CHEBI:16684	dysentery	Atropine	CHEBI:16684	MONDO:0001517	['HYOSCYAMINE']	['DYSENTERY (MILD)']
MONDO:0001517|CHEBI:28971	dysentery	Ampicillin	CHEBI:28971	MONDO:0001517	['AMPICILLIN']	['DYSENTERY']
MONDO:0001517|CHEBI:2955	dysentery	Azithromycin	CHEBI:2955	MONDO:0001517	['AZITHROMYCIN ANHYDROUS']	['INFECTIOUS DIARRHEA CAUSED BY CAMPYLOBACTER JEJUNI OR SALMONELLA TYPHI']
MONDO:0001517|CHEBI:59936	dysentery	ciprofloxacin hydrochloride hydrate	CHEBI:59936	MONDO:0001517	['CIPROFLOXACIN']	['ACUTE INFECTIOUS DIARRHEA', 'INFECTIOUS DIARRHEA', 'INFECTIOUS DIARRHEA IN TRAVELERS', 'INFECTIVE DIARRHEA', 'INFECTIVE DIARRHEA (CAUSED BY SALMONELLA', 'INFECTIVE DIARRHEA (PREVENTION)', 'INFECTIVE DIARRHEA (TREATMENT)', 'INFECTIVE DIARRHEA CAUSED BY SALMONELLA', 'INFECTIVE DIARRHOEA']
MONDO:0001517|UNII:PY79D6C8RX	dysentery	Crofelemer	UNII:PY79D6C8RX	MONDO:0001517	['CROFELEMER']	['DIARRHEA (NON-INFECTIOUS)']
MONDO:0001521|CHEBI:3647	intermittent explosive disorder	Chlorpromazine	CHEBI:3647	MONDO:0001521	['CHLORPROMAZINE']	['COMBATIVENESS AND/OR EXPLOSIVE HYPEREXCITABLE BEHAVIOR', 'EXPLOSIVE HYPEREXCITABLE BEHAVIOR', 'EXPLOSIVE HYPEREXCITABLE BEHAVIOR (OUT OF PROPORTION TO IMMEDIATE PROVOCATIONS)', 'EXPLOSIVE HYPEREXCITABLE BEHAVIOR)']
MONDO:0001521|CHEBI:5613	intermittent explosive disorder	Haloperidol	CHEBI:5613	MONDO:0001521	['HALOPERIDOL']	['EXPLOSIVE HYPEREXCITABILITY', 'EXPLOSIVE HYPEREXCITABILITY (WHICH CANNOT BE ACCOUNTED FOR BY IMMEDIATE PROVOCATION)', 'EXPLOSIVE HYPEREXCITABILITY)']
MONDO:0001522|CHEBI:6931	pyromania	Midazolam	CHEBI:6931	MONDO:0001522	['MIDAZOLAM']	['CRITICAL CARE SETTING']
MONDO:0001530|CHEBI:8382	secondary hyperparathyroidism of renal origin	Prednisone	CHEBI:8382	MONDO:0001530	['PREDNISONE']	['TREATMENT OF HYPERCALCEMIA DUE TO HYPERPARATHYROIDISM']
MONDO:0001531|CHEBI:18067	blood coagulation disease	Phylloquinone	CHEBI:18067	MONDO:0001531	['PHYTONADIONE']	['COAGULATION DISORDERS DUE TO FAULTY FORMATION OF FACTORS II']
MONDO:0001531|CHEBI:4167	blood coagulation disease	D-glucose	CHEBI:4167	MONDO:0001531	['ADENINE, DEXTROSE']	['BLOOD CLOTTING DISORDERS']
MONDO:0001531|CHEBI:6888	blood coagulation disease	Methylprednisolone	CHEBI:6888	MONDO:0001531	['METHYLPREDNISOLONE']	['CERTAIN BLOOD DISORDERS']
MONDO:0001531|CHEBI:8382	blood coagulation disease	Prednisone	CHEBI:8382	MONDO:0001531	['PREDNISONE']	['CERTAIN BLOOD DISORDERS', 'CERTAIN BLOOD DISORDERS (E.G.']
MONDO:0001531|UNII:8NZ41MIK1O	blood coagulation disease	Enoxaparin	UNII:8NZ41MIK1O	MONDO:0001531	['ENOXAPARIN SODIUM']	['VARIOUS DISORDERS RELATED TO BLOOD CLOTS']
MONDO:0001533|CHEBI:49662	pes anserinus tendinitis or bursitis	Indomethacin	CHEBI:49662	MONDO:0001533	['INDOMETHACIN']	['ACUTE PAINFUL SHOULDER (BURSITIS AND/OR TENDINITIS)']
MONDO:0001533|CHEBI:6446	pes anserinus tendinitis or bursitis	levothyroxine sodium anhydrous	CHEBI:6446	MONDO:0001533	['ANHYDROUS LACTOSE, INDOMETHACIN']	['ACUTE PAINFUL SHOULDER (BURSITIS AND/OR TENDINITIS)']
MONDO:0001548|CHEBI:6359	hepatic coma	Lactulose	CHEBI:6359	MONDO:0001548	['LACTULOSE']	['HEPATIC COMA', 'HEPATIC PRE-COMA']
MONDO:0001548|CHEBI:7934	hepatic coma	Paromomycin	CHEBI:7934	MONDO:0001548	['PAROMOMYCIN']	['HEPATIC COMA', 'HEPATIC COMA (ADJUNCTIVE)']
MONDO:0001548|CHEBI:8382	hepatic coma	Prednisone	CHEBI:8382	MONDO:0001548	['PREDNISONE']	['HEPATIC COMA']
MONDO:0001549|UNII:A3ULP0F556	hemolytic-uremic syndrome	Eculizumab	UNII:A3ULP0F556	MONDO:0001549	['ECULIZUMAB']	['ATYPICAL HAEMOLYTIC UREMIC SYNDROME (AHUS)']
MONDO:0001549|UNII:C3VX249T6L	hemolytic-uremic syndrome	Ravulizumab	UNII:C3VX249T6L	MONDO:0001549	['RAVULIZUMAB']	['ATYPICAL HAEMOLYTIC UREMIC SYNDROME (AHUS)']
MONDO:0001561|CHEBI:17996	pyloric stenosis	Chloride ion	CHEBI:17996	MONDO:0001561	['CHLORIDE ION']	['VOMITING FROM PYLORIC OBSTRUCTION']
MONDO:0001561|CHEBI:26710	pyloric stenosis	Sodium chloride	CHEBI:26710	MONDO:0001561	['CHLORIDE ION, SODIUM CATION']	['VOMITING FROM PYLORIC OBSTRUCTION']
MONDO:0001566|CHEBI:31645	hypercalcemia disease	Gallium citrate Ga-67	CHEBI:31645	MONDO:0001566	['GALLIUM CATION']	['CANCER-RELATED HYPERCALCEMIA']
MONDO:0001566|CHEBI:3306	hypercalcemia disease	calcitonin (salmon)	CHEBI:3306	MONDO:0001566	['CALCITONIN SALMON']	['HYPERCALCEMIA']
MONDO:0001566|CHEBI:46557	hypercalcemia disease	Zoledronic acid	CHEBI:46557	MONDO:0001566	['ZOLEDRONIC ACID']	['TUMOUR-INDUCED HYPERCALCEMIA']
MONDO:0001566|CHEBI:48390	hypercalcemia disease	Cinacalcet	CHEBI:48390	MONDO:0001566	['CINACALCET', 'CINACALCET HYDROCHLORIDE']	['HYPERCALCEMIA', 'HYPERCALCEMIA (PRIMARY HPT)']
MONDO:0001566|CHEBI:6888	hypercalcemia disease	Methylprednisolone	CHEBI:6888	MONDO:0001566	['METHYLPREDNISOLONE']	['HYPERCALCEMIA']
MONDO:0001566|CHEBI:8378	hypercalcemia disease	Prednisolone	CHEBI:8378	MONDO:0001566	['PREDNISOLONE']	['HYPERCALCEMIA']
